onset,terminus,tail,head,onset.censored,terminus.censored,duration,edge.id
958394100,958394100,30,30,FALSE,FALSE,0,1
958637700,958637700,30,30,FALSE,FALSE,0,1
959151480,959151480,30,30,FALSE,FALSE,0,1
964004940,964004940,30,30,FALSE,FALSE,0,1
970123500,970123500,30,30,FALSE,FALSE,0,1
970123920,970123920,30,30,FALSE,FALSE,0,1
972635880,972635880,30,30,FALSE,FALSE,0,1
973842720,973842720,30,30,FALSE,FALSE,0,1
978682620,978682620,30,30,FALSE,FALSE,0,1
985330920,985330920,30,30,FALSE,FALSE,0,1
995564630,995564630,30,30,FALSE,FALSE,0,1
1002657376,1002657376,30,30,FALSE,FALSE,0,1
1002743730,1002743730,30,30,FALSE,FALSE,0,1
1002829309,1002829309,30,30,FALSE,FALSE,0,1
1002896119,1002896119,30,30,FALSE,FALSE,0,1
1002910479,1002910479,30,30,FALSE,FALSE,0,1
1003175808,1003175808,30,30,FALSE,FALSE,0,1
1003262699,1003262699,30,30,FALSE,FALSE,0,1
1003348964,1003348964,30,30,FALSE,FALSE,0,1
1003404200,1003404200,30,30,FALSE,FALSE,0,1
1003435133,1003435133,30,30,FALSE,FALSE,0,1
1003497350,1003497350,30,30,FALSE,FALSE,0,1
1003498492,1003498492,30,30,FALSE,FALSE,0,1
1003519091,1003519091,30,30,FALSE,FALSE,0,1
1003777778,1003777778,30,30,FALSE,FALSE,0,1
1003843051,1003843051,30,30,FALSE,FALSE,0,1
1003848534,1003848534,30,30,FALSE,FALSE,0,1
1003857181,1003857181,30,30,FALSE,FALSE,0,1
1003857680,1003857680,30,30,FALSE,FALSE,0,1
1003861136,1003861136,30,30,FALSE,FALSE,0,1
1003867328,1003867328,30,30,FALSE,FALSE,0,1
1003921754,1003921754,30,30,FALSE,FALSE,0,1
1003921910,1003921910,30,30,FALSE,FALSE,0,1
1003926601,1003926601,30,30,FALSE,FALSE,0,1
1003939821,1003939821,30,30,FALSE,FALSE,0,1
1003953654,1003953654,30,30,FALSE,FALSE,0,1
1004040947,1004040947,30,30,FALSE,FALSE,0,1
1004041229,1004041229,30,30,FALSE,FALSE,0,1
1004125235,1004125235,30,30,FALSE,FALSE,0,1
1004365082,1004365082,30,30,FALSE,FALSE,0,1
1004365223,1004365223,30,30,FALSE,FALSE,0,1
1004389140,1004389140,30,30,FALSE,FALSE,0,1
1005858438,1005858438,30,30,FALSE,FALSE,0,1
1006895064,1006895064,30,30,FALSE,FALSE,0,1
1016633063,1016633063,30,30,FALSE,FALSE,0,1
1016641227,1016641227,30,30,FALSE,FALSE,0,1
1016652836,1016652836,30,30,FALSE,FALSE,0,1
1016655836,1016655836,30,30,FALSE,FALSE,0,1
1016740388,1016740388,30,30,FALSE,FALSE,0,1
1016740676,1016740676,30,30,FALSE,FALSE,0,1
1016827395,1016827395,30,30,FALSE,FALSE,0,1
1017086216,1017086216,30,30,FALSE,FALSE,0,1
954226980,954226980,39,39,FALSE,FALSE,0,2
955521660,955521660,39,39,FALSE,FALSE,0,2
965053020,965053020,39,39,FALSE,FALSE,0,2
966262260,966262260,39,39,FALSE,FALSE,0,2
969531660,969531660,39,39,FALSE,FALSE,0,2
975564180,975564180,39,39,FALSE,FALSE,0,2
975564300,975564300,39,39,FALSE,FALSE,0,2
977998740,977998740,39,39,FALSE,FALSE,0,2
979710900,979710900,39,39,FALSE,FALSE,0,2
983431740,983431740,39,39,FALSE,FALSE,0,2
983449440,983449440,39,39,FALSE,FALSE,0,2
986968380,986968380,39,39,FALSE,FALSE,0,2
986987040,986987040,39,39,FALSE,FALSE,0,2
988621980,988621980,39,39,FALSE,FALSE,0,2
989488020,989488020,39,39,FALSE,FALSE,0,2
989831880,989831880,39,39,FALSE,FALSE,0,2
989867880,989867880,39,39,FALSE,FALSE,0,2
991224720,991224720,39,39,FALSE,FALSE,0,2
991260720,991260720,39,39,FALSE,FALSE,0,2
991739340,991739340,39,39,FALSE,FALSE,0,2
991744080,991744080,39,39,FALSE,FALSE,0,2
991775340,991775340,39,39,FALSE,FALSE,0,2
991780080,991780080,39,39,FALSE,FALSE,0,2
991817520,991817520,39,39,FALSE,FALSE,0,2
991853520,991853520,39,39,FALSE,FALSE,0,2
991910220,991910220,39,39,FALSE,FALSE,0,2
991913460,991913460,39,39,FALSE,FALSE,0,2
991946220,991946220,39,39,FALSE,FALSE,0,2
991949460,991949460,39,39,FALSE,FALSE,0,2
992355645,992355645,39,39,FALSE,FALSE,0,2
998397702,998397702,39,39,FALSE,FALSE,0,2
1000143103,1000143103,39,39,FALSE,FALSE,0,2
1000391537,1000391537,39,39,FALSE,FALSE,0,2
1002044392,1002044392,39,39,FALSE,FALSE,0,2
1004011633,1004011633,39,39,FALSE,FALSE,0,2
1005836575,1005836575,39,39,FALSE,FALSE,0,2
1006179984,1006179984,39,39,FALSE,FALSE,0,2
1006189219,1006189219,39,39,FALSE,FALSE,0,2
